Entry Time,Exit Time,Symbol,Type,Special,Entry,SL,TP,Exit,Reason,Result (%),Equity
08.07.25 19:07,09.07.25 07:59,XLMUSDT,LONG,,0.25348,0.24841,0.26362,0.26362,TP,4.00,104.00
09.07.25 08:22,09.07.25 11:42,POLUSDT,LONG,,0.19539,0.19148,0.20321,0.20321,TP,4.00,108.16
09.07.25 10:15,09.07.25 14:43,XLMUSDT,LONG,,0.26351,0.25824,0.27405,0.27406,TP,4.00,112.49
09.07.25 10:44,09.07.25 16:11,PENGUUSDT,SHORT,,0.014756,0.015051,0.014166,0.015081,SL,-2.20,110.01
09.07.25 20:27,09.07.25 21:40,SEIUSDT,LONG,,0.2660,0.2607,0.2766,0.2606,SL,-2.03,107.78
09.07.25 17:33,09.07.25 23:02,VETUSDT,LONG,,0.021517,0.021087,0.022378,0.022378,TP,4.00,112.09
09.07.25 22:18,10.07.25 00:21,1000BONKUSDT,SHORT,,0.020629,0.021042,0.019804,0.021043,SL,-2.00,109.84
09.07.25 17:09,10.07.25 08:28,HBARUSDT,LONG,,0.16830,0.16493,0.17503,0.17504,TP,4.00,114.24
10.07.25 06:57,10.07.25 10:02,SPXUSDT,LONG,,1.4921,1.4623,1.5518,1.5523,TP,4.03,118.85
09.07.25 19:39,10.07.25 10:09,ALGOUSDT,LONG,,0.1874,0.1837,0.1949,0.1949,TP,4.00,123.61
09.07.25 14:22,10.07.25 13:51,POLUSDT,LONG,,0.20281,0.19875,0.21092,0.21093,TP,4.00,128.56
10.07.25 11:16,10.07.25 15:20,SPXUSDT,LONG,,1.5209,1.4905,1.5817,1.4885,SL,-2.13,125.82
10.07.25 03:29,10.07.25 17:07,UNIUSDT,LONG,,8.257,8.092,8.588,8.092,SL,-2.00,123.30
10.07.25 17:30,10.07.25 19:34,PENGUUSDT,LONG,,0.018863,0.018486,0.019617,0.019628,TP,4.06,128.30
10.07.25 13:12,10.07.25 19:43,SUIUSDT,LONG,,3.2089,3.1447,3.3373,3.3374,TP,4.00,133.44
10.07.25 13:07,10.07.25 20:02,VIRTUALUSDT,LONG,,1.6070,1.5749,1.6713,1.6714,TP,4.01,138.79
10.07.25 07:08,10.07.25 20:12,HYPEUSDT,LONG,,41.252,40.427,42.902,42.903,TP,4.00,144.34
10.07.25 17:32,10.07.25 20:31,WLDUSDT,LONG,,0.9344,0.9157,0.9718,0.9718,TP,4.00,150.12
10.07.25 07:15,10.07.25 20:32,OPUSDT,LONG,,0.5876,0.5758,0.6111,0.6112,TP,4.02,156.15
10.07.25 03:20,10.07.25 20:53,VETUSDT,LONG,,0.022369,0.021922,0.023264,0.023277,TP,4.06,162.49
10.07.25 17:35,10.07.25 20:53,TRUMPUSDT,LONG,,9.267,9.082,9.638,9.638,TP,4.00,169.00
10.07.25 13:15,11.07.25 00:18,HBARUSDT,LONG,,0.17731,0.17376,0.18440,0.18441,TP,4.00,175.77
11.07.25 10:06,11.07.25 15:57,ALGOUSDT,LONG,,0.2178,0.2134,0.2265,0.2265,TP,4.00,182.80
11.07.25 10:11,11.07.25 17:29,OPUSDT,LONG,,0.6714,0.6580,0.6982,0.6983,TP,4.01,190.13
11.07.25 18:54,11.07.25 19:14,HBARUSDT,LONG,,0.20302,0.19896,0.21114,0.19876,SL,-2.10,186.14
11.07.25 09:49,11.07.25 20:23,1000PEPEUSDT,LONG,,0.0125879,0.0123362,0.0130915,0.0132119,TP,4.96,195.37
11.07.25 19:14,12.07.25 00:09,ADAUSDT,LONG,,0.7358,0.7211,0.7652,0.7210,SL,-2.01,191.44
11.07.25 23:58,12.07.25 00:45,SUSDT,LONG,,0.3657,0.3584,0.3804,0.3583,SL,-2.03,187.55
12.07.25 00:38,12.07.25 01:15,XLMUSDT,LONG,,0.36311,0.35585,0.37763,0.35584,SL,-2.00,183.79
11.07.25 23:59,12.07.25 01:15,TAOUSDT,LONG,,397.55,389.60,413.45,389.59,SL,-2.00,180.11
11.07.25 10:11,12.07.25 01:17,ARBUSDT,LONG,,0.4115,0.4032,0.4279,0.4032,SL,-2.01,176.49
12.07.25 19:29,12.07.25 20:56,PENGUUSDT,SHORT,,0.022359,0.022806,0.021465,0.022807,SL,-2.00,172.95
12.07.25 20:10,13.07.25 05:55,DOGEUSDT,SHORT,,0.19546,0.19937,0.18764,0.19937,SL,-2.00,169.49
